title,price,beds,baths,address,lat,lon,link,neighborhood,is_furnished,sqft,walk_score,transit_score,bike_score,has_parking,pet_friendly,laundry,days_on_market,landlord_rating
Comstock Ave 4BR Student House,2100,4,2,715 Comstock Ave,43.0402,-76.1324,https://orangehousing.com/index.php/syracuse-apartments/listings,University Hill,TRUE,1800,88,75,92,TRUE,FALSE,In-unit,3,4.2
Madison St 3BR Walk-to-SU,1800,3,1,909 Madison St,43.0381,-76.1301,https://orangehousing.com/index.php/syracuse-apartments/listings,University Hill,FALSE,1200,92,85,88,FALSE,TRUE,Shared,7,3.8
Walnut Ave 2BR Renovated,1500,2,1,505 Walnut Ave,43.0365,-76.128,https://orangehousing.com/index.php/syracuse-apartments/listings,Westcott,TRUE,950,85,72,90,TRUE,TRUE,In-unit,1,4.5
SU Campus 5BR Furnished,2500,5,2,123 College Pl,43.039,-76.1345,https://orangehousing.com/index.php/syracuse-apartments/listings,University Hill,TRUE,2200,95,90,95,TRUE,FALSE,In-unit,5,4.1
Downtown Luxury 1BR,1200,1,1,456 S Salina St,43.0487,-76.1524,https://orangehousing.com/index.php/syracuse-apartments/listings,Downtown,FALSE,700,78,92,85,FALSE,TRUE,Shared,12,3.9
Westcott 3BR Character Home,1650,3,1.5,201 Westcott St,43.0423,-76.1317,https://orangehousing.com/index.php/syracuse-apartments/listings,Westcott,FALSE,1500,87,68,82,TRUE,FALSE,None,9,4.3
Thornden Park 2BR Apt,1350,2,1,300 Ostrom Ave,43.0445,-76.1298,https://orangehousing.com/index.php/syracuse-apartments/listings,East Neighborhood,TRUE,1100,82,74,88,FALSE,TRUE,In-unit,2,4.7
Euclid Ave 4BR Student Rental,2200,4,2,400 Euclid Ave,43.0376,-76.1265,https://orangehousing.com/index.php/syracuse-apartments/listings,University Hill,TRUE,2000,90,82,94,TRUE,FALSE,Shared,4,3.7
South Campus 3BR House,1900,3,1,500 Sumner Ave,43.0321,-76.1354,https://orangehousing.com/index.php/syracuse-apartments/listings,South Campus,FALSE,1600,76,65,78,TRUE,TRUE,None,15,4
Tipp Hill 2BR Modern,1400,2,1,100 Tompkins St,43.0278,-76.1489,https://orangehousing.com/index.php/syracuse-apartments/listings,Tipperary Hill,TRUE,1000,71,58,65,FALSE,FALSE,In-unit,6,4.2
SU Adjacent 6BR Party House,3000,6,3,200 Ackerman Ave,43.0412,-76.1376,https://orangehousing.com/index.php/syracuse-apartments/listings,University Hill,FALSE,2800,93,88,96,TRUE,FALSE,Shared,8,3.5
Eastwood 1BR Cozy,950,1,1,300 Jamesville Ave,43.0543,-76.1087,https://orangehousing.com/index.php/syracuse-apartments/listings,Eastwood,TRUE,650,65,42,70,FALSE,TRUE,None,20,4.4
Strathmore 3BR Luxury,2300,3,2,400 Strathmore Dr,43.0254,-76.1187,https://orangehousing.com/index.php/syracuse-apartments/listings,Strathmore,FALSE,1800,62,35,55,TRUE,FALSE,In-unit,10,4.6
Near SU Hospital 2BR,1250,2,1,500 Irving Ave,43.0345,-76.1423,https://orangehousing.com/index.php/syracuse-apartments/listings,University Hill,TRUE,900,89,83,91,FALSE,TRUE,Shared,3,4.3
Westside 1BR Budget,750,1,1,600 Geddes St,43.0521,-76.1623,https://orangehousing.com/index.php/syracuse-apartments/listings,Westside,FALSE,500,55,48,62,FALSE,FALSE,None,25,3.2
SU Shuttle Route 4BR,2400,4,2,700 Comstock Ave,43.0398,-76.1332,https://orangehousing.com/index.php/syracuse-apartments/listings,University Hill,TRUE,2100,91,86,93,TRUE,TRUE,In-unit,5,4.1
Lincoln Ave 3BR Updated,1750,3,1,800 Lincoln Ave,43.0367,-76.1254,https://orangehousing.com/index.php/syracuse-apartments/listings,East Neighborhood,FALSE,1400,79,63,85,TRUE,FALSE,Shared,11,3.9
Ostrom Ave 2BR Quiet,1300,2,1,900 Ostrom Ave,43.0432,-76.1287,https://orangehousing.com/index.php/syracuse-apartments/listings,East Neighborhood,TRUE,1000,84,70,89,FALSE,TRUE,In-unit,2,4.5
Redfield 5BR Spacious,2700,5,2.5,100 Redfield Pkwy,43.0289,-76.1198,https://orangehousing.com/index.php/syracuse-apartments/listings,Redfield,FALSE,2400,58,30,60,TRUE,FALSE,None,14,4
Near SU Law School 1BR,1100,1,1,200 MacKinnon Ave,43.0376,-76.1398,https://orangehousing.com/index.php/syracuse-apartments/listings,University Hill,TRUE,750,88,84,90,FALSE,FALSE,In-unit,4,4.2
Westcott 4BR Character,2200,4,2,300 Westcott St,43.0415,-76.1321,https://syracusequalityliving.com/property/page/2/?sortby=a_price,Westcott,FALSE,1900,86,72,87,TRUE,TRUE,None,7,4.4
SU South 3BR Modern,1950,3,2,400 Clarendon St,43.0312,-76.1365,https://syracusequalityliving.com/property/page/2/?sortby=a_price,South Campus,TRUE,1600,77,66,80,TRUE,FALSE,In-unit,9,3.8
Downtown Loft 2BR,,,,,,,https://syracusequalityliving.com/property/page/2/?sortby=a_price,,,,,,,,,,,
SU Hill 5BR Furnished,2800,5,3,600 Walnut Ave,43.0354,-76.1276,https://syracusequalityliving.com/property/page/2/?sortby=a_price,University Hill,TRUE,2500,92,85,95,TRUE,FALSE,In-unit,5,3.9
Eastside 1BR Affordable,850,1,1,700 Lancaster Ave,43.0567,-76.1076,https://syracusequalityliving.com/property/page/2/?sortby=a_price,Eastside,FALSE,600,63,40,68,FALSE,TRUE,None,22,3.7
Near SU Dome 4BR,2600,4,2,800 Euclid Ave,43.0365,-76.1254,https://syracusequalityliving.com/property/page/2/?sortby=a_price,University Hill,TRUE,2200,94,89,97,TRUE,TRUE,Shared,3,4.3
