title,price,beds,address,lat,lon,link,neighborhood,is_furnished
Comstock Ave 4BR Student House,2100,4,715 Comstock Ave,43.0402,-76.1324,https://example.com/1,University Hill,TRUE
Madison St 3BR Walk-to-SU,1800,3,909 Madison St,43.0381,-76.1301,https://example.com/2,University Hill,FALSE
Walnut Ave 2BR Renovated,1500,2,505 Walnut Ave,43.0365,-76.128,https://example.com/3,Westcott,TRUE
SU Campus 5BR Furnished,2500,5,123 College Pl,43.039,-76.1345,https://example.com/4,University Hill,TRUE
Downtown Luxury 1BR,1200,1,456 S Salina St,43.0487,-76.1524,https://example.com/5,Downtown,FALSE
Westcott 3BR Character Home,1650,3,201 Westcott St,43.0423,-76.1317,https://example.com/6,Westcott,FALSE
Thornden Park 2BR Apt,1350,2,300 Ostrom Ave,43.0445,-76.1298,https://example.com/7,East Neighborhood,TRUE
Euclid Ave 4BR Student Rental,2200,4,400 Euclid Ave,43.0376,-76.1265,https://example.com/8,University Hill,TRUE
South Campus 3BR House,1900,3,500 Sumner Ave,43.0321,-76.1354,https://example.com/9,South Campus,FALSE
Tipp Hill 2BR Modern,1400,2,100 Tompkins St,43.0278,-76.1489,https://example.com/10,Tipperary Hill,TRUE
SU Adjacent 6BR Party House,3000,6,200 Ackerman Ave,43.0412,-76.1376,https://example.com/11,University Hill,FALSE
Eastwood 1BR Cozy,950,1,300 Jamesville Ave,43.0543,-76.1087,https://example.com/12,Eastwood,TRUE
Strathmore 3BR Luxury,2300,3,400 Strathmore Dr,43.0254,-76.1187,https://example.com/13,Strathmore,FALSE
Near SU Hospital 2BR,1250,2,500 Irving Ave,43.0345,-76.1423,https://example.com/14,University Hill,TRUE
Westside 1BR Budget,750,1,600 Geddes St,43.0521,-76.1623,https://example.com/15,Westside,FALSE
SU Shuttle Route 4BR,2400,4,700 Comstock Ave,43.0398,-76.1332,https://example.com/16,University Hill,TRUE
Lincoln Ave 3BR Updated,1750,3,800 Lincoln Ave,43.0367,-76.1254,https://example.com/17,East Neighborhood,FALSE
Ostrom Ave 2BR Quiet,1300,2,900 Ostrom Ave,43.0432,-76.1287,https://example.com/18,East Neighborhood,TRUE
Redfield 5BR Spacious,2700,5,100 Redfield Pkwy,43.0289,-76.1198,https://example.com/19,Redfield,FALSE
Near SU Law School 1BR,1100,1,200 MacKinnon Ave,43.0376,-76.1398,https://example.com/20,University Hill,TRUE
